date,country,sector,sector_label,ticker,tariff_sensitivity,open,high,low,close,volume,daily_return_pct,weekly_return_pct,indexed_to_100,volatility_10d
2024-07-15,USA,Semiconductors,Semiconductors (USA),SOXX,High,258.3219849062557,260.5755674449855,255.5939528252673,257.16552734375,3202200,0.11156639768841181,0.22727999875351568,479.335285484512,1.6016369224146765
2024-07-16,USA,Semiconductors,Semiconductors (USA),SOXX,High,258.4999301798919,259.1028784470792,254.60557633610355,258.7569274902344,2595100,0.6188232781126901,0.8941425937417646,482.301523811298,1.5898535411631136
2024-07-17,USA,Semiconductors,Semiconductors (USA),SOXX,High,249.8216226869211,250.72108298966774,239.96713452412533,240.3526153564453,9101600,-7.112587211595967,-8.40709184161199,447.9974073073631,2.877053328032332
2024-07-18,USA,Semiconductors,Semiconductors (USA),SOXX,High,244.54348487276485,244.65221100426857,236.87338341104595,241.0741424560547,5274000,0.30019523546243043,-5.008572598085237,449.342274179095,2.80790210628901
2024-07-19,USA,Semiconductors,Semiconductors (USA),SOXX,High,240.73809439693872,240.87647174386979,233.30521741978419,233.70059204101562,4983500,-3.0586235171958243,-9.023061609576056,435.5985857083507,2.9202657647488643
2024-07-22,USA,Semiconductors,Semiconductors (USA),SOXX,High,238.72173943179078,243.58473421530724,236.7251390465178,243.38705444335938,4941700,4.144817228637465,-5.35782266103384,453.6533509364915,3.2145043762485663
2024-07-23,USA,Semiconductors,Semiconductors (USA),SOXX,High,240.0758671454143,242.24049613998946,239.03802946667273,239.75958251953125,2418700,-1.4904128455493937,-7.341772510194955,446.89204311986873,3.2253183809264034
2024-07-24,USA,Semiconductors,Semiconductors (USA),SOXX,High,236.48788770221842,237.11059324179476,226.69271810236398,227.00900268554688,5738900,-5.318068917201957,-5.551681911640416,423.1260162812622,3.352671010752689
2024-07-25,USA,Semiconductors,Semiconductors (USA),SOXX,High,225.07174060937396,229.37133211695183,218.07376823815804,221.94834899902344,8437600,-2.229274445795204,-7.933573158107443,413.69337612679277,3.3023034342724857
2024-07-26,USA,Semiconductors,Semiconductors (USA),SOXX,High,227.00902108612755,228.53118695469618,224.2810041218089,226.71249389648438,3805500,2.1465106268854894,-2.9901927434162423,422.5733484080758,3.3921354337851395
2024-07-29,USA,Semiconductors,Semiconductors (USA),SOXX,High,228.916660618786,232.1092332279193,225.38801582816586,226.23805236816406,2926800,-0.20927012894884633,-7.045979546618075,421.6890286169588,3.379966112485534
2024-07-30,USA,Semiconductors,Semiconductors (USA),SOXX,High,227.33517889646816,227.88868822327032,217.27313343510528,218.02432250976562,8083500,-3.630569558224439,-9.065439546298437,406.3793151136191,3.390094603050535
2024-07-31,USA,Semiconductors,Semiconductors (USA),SOXX,High,228.04685027511127,232.87031480772455,226.31712599516172,232.65286254882812,7494100,6.70959087071914,2.486183277541265,433.6457045409735,3.715645982792188
2024-08-01,USA,Semiconductors,Semiconductors (USA),SOXX,High,228.71898266478388,230.5080245883857,213.0921604827924,215.88937377929688,8576300,-7.205365361027094,-2.7299032622014385,402.3999471563962,4.3010653165653645
2024-08-02,USA,Semiconductors,Semiconductors (USA),SOXX,High,206.63779527898933,209.00010375675856,201.84399719718894,204.4138641357422,13105400,-5.315458302864906,-9.835642216932083,381.0105457545476,4.475921915756752
2024-08-05,USA,Semiconductors,Semiconductors (USA),SOXX,High,190.85283258552948,206.26220136441628,190.6353803252374,200.80616760253906,9247100,-1.764898163075379,-11.241205667841815,374.2860976314021,4.05647130084112
2024-08-06,USA,Semiconductors,Semiconductors (USA),SOXX,High,202.68416509563332,208.041366972019,199.4026385769691,202.62486267089844,6602300,0.9056968170216617,-7.0631843555791445,377.67599490420423,4.1485295439327565
2024-08-07,USA,Semiconductors,Semiconductors (USA),SOXX,High,209.04952717200015,210.71005518393628,196.54609812808172,196.98098754882812,5292500,-2.7853813434716823,-15.332661119745882,367.15627820337147,3.969148948141827
2024-08-08,USA,Semiconductors,Semiconductors (USA),SOXX,High,203.08941529883714,210.7891533251353,198.9084285177073,210.5717010498047,6243200,6.8995052111857635,-2.4631470444341663,392.4882447512088,4.720087852009892
2024-08-09,USA,Semiconductors,Semiconductors (USA),SOXX,High,209.03964531330521,211.20425892153446,206.33138600283849,209.32627868652344,3454500,-0.5914481181812148,2.4031709255880607,390.1668804135453,4.63295751159313
2024-08-12,USA,Semiconductors,Semiconductors (USA),SOXX,High,209.64259902974632,213.05262404653578,207.86345095255197,210.53216552734375,4365200,0.5760800069570804,4.843475696451516,392.4145538053758,4.64880625850286
2024-08-13,USA,Semiconductors,Semiconductors (USA),SOXX,High,213.4875134939945,219.40810281973762,212.1827999689502,219.08192443847656,4525400,4.0610226421778695,8.121936050023404,408.3505976866134,4.730967009030747
2024-08-14,USA,Semiconductors,Semiconductors (USA),SOXX,High,221.0587797488158,221.93846758437164,214.97016111762053,218.5284423828125,3769900,-0.25263702474892513,10.938850039343585,407.3189528860735,4.132664253395494
2024-08-15,USA,Semiconductors,Semiconductors (USA),SOXX,High,223.45074561803256,229.92484482938372,222.43266538911806,229.0352783203125,4332100,4.8079947044579185,8.768308931569479,426.9028265710893,3.706259118943429
2024-08-16,USA,Semiconductors,Semiconductors (USA),SOXX,High,226.929935702167,229.52946899400376,225.3880124855029,228.55093383789062,3966100,-0.21147156279763824,9.184061968711088,426.00004849211217,3.0936541519145795
2024-08-19,USA,Semiconductors,Semiconductors (USA),SOXX,High,227.66138368406516,232.4749547260468,225.02232028483908,232.4354248046875,2197800,1.6996171932301518,10.403759075236874,433.24041855945296,2.9181677322834467
2024-08-20,USA,Semiconductors,Semiconductors (USA),SOXX,High,231.2394152025745,232.82088338177417,227.60205950521294,229.36143493652344,2587700,-1.3225134984252485,4.692085175166327,427.5107555433701,3.0515348723270894
2024-08-21,USA,Semiconductors,Semiconductors (USA),SOXX,High,230.50800052348637,233.76975416188165,229.9445973898009,232.61331176757812,1832200,1.4177958173110738,6.445325483120468,433.57198515401893,2.696991770035279
2024-08-22,USA,Semiconductors,Semiconductors (USA),SOXX,High,233.957573529452,234.74830768753625,223.99435933438943,224.66648864746094,2969600,-3.4163234510230733,-1.9074745623867129,418.7597637481359,2.4526030117105866
2024-08-23,USA,Semiconductors,Semiconductors (USA),SOXX,High,228.2445447117491,232.27727538789813,227.0386785010477,230.68592834472656,3452900,2.6792779526238597,0.9341438562444404,429.97950177269956,2.482583269529058
2024-08-26,USA,Semiconductors,Semiconductors (USA),SOXX,High,229.7765967697148,230.50802853689885,224.0734439409157,224.89382934570312,2148200,-2.5108159134734853,-3.2445981352977826,419.1835080175166,2.722053667330118
2024-08-27,USA,Semiconductors,Semiconductors (USA),SOXX,High,223.26294400525802,228.1358174554349,221.2169199246525,227.38462829589844,2024700,1.1075443721341394,-0.8618740291593041,423.82615136947913,2.46430329468906
2024-08-28,USA,Semiconductors,Semiconductors (USA),SOXX,High,226.43572694400663,228.02707385750324,221.0291019381392,223.28268432617188,3480000,-1.80396713729859,-4.011218175995534,416.18046687949635,2.5570276788498156
2024-08-29,USA,Semiconductors,Semiconductors (USA),SOXX,High,224.46879999707974,228.34338062819089,221.61228446404633,222.64022827148438,4084600,-0.2877321439530012,-0.9018970244183189,414.9829818994303,1.991895755259387
